orginal,translation
危위樓루에 혼자 올나 水슈晶졍簾념을 거든마리,높은 누각에 혼자 올라 수정렴을 걷으니
東동山산의 이 나고 北북極극의 별이 뵈니,동산에 달이 뜨고 북극성이 보이므로
님이신가 반기니 눈믈이 절로난다,임이신가 하여 반가워하니 눈물이 절로 난다
淸쳥光광을 픠워 내여 鳳봉凰황樓누의 븟티고져,맑은 달빛을 한 움큼 쥐어내어 봉황루에 부치고 싶다
樓누 우 거러두고 八팔荒황의 다 비최여,누각 위에 걸어 두고 팔황에 다 비추어
深심山산 窮궁谷곡 졈낫 티 그쇼셔,깊은 산골짜기도 대낮 같이 환하게 만드소서
乾건坤곤이 閉폐塞ꢁ야 白雪셜이 ꢀ 비친 제,천지가 닫히어 막히고 흰 눈으로 한 빛일 때
사은 니와 새도 긋처 잇다,사람은 물론이고 새들도 그쳐 있다
瀟쇼湘샹 南남畔반도 치오미 이러커든,소상강 남쪽 둔덕도 추움이 이렇거늘
玉옥樓누 高고處쳐야 더옥 닐러 므 ꢁ리,옥루 고처야 더욱 말해 무엇을 하랴
陽양春츈을 부처 내여 님 겨신 쏘이고져,봄기운을 부쳐 내어 임 계신 곳에 쐬게 하고 싶다
茅모簷쳠 비쵠  玉옥樓누의 올리고져,띠집 처마에 비친 따뜻한 볕을 임 계신 궁궐에 올리고 싶다
紅홍裳샹을 니믜고 翠袖슈를 半반만 거더,붉은 치마를 걸쳐 입고 푸른 소매를 반쯤 걷어
日일暮모 脩슈竹듁의 혬가림도 하도 할샤,해질녘 수죽에 기대어 생각이 많기도 많구나
댜  수이 디여 긴 밤을 고초 안자,짧은 해가 이내 넘어가고  긴 밤을 꼿꼿이 앉아
靑쳥燈등 거론 겻 鈿뎐箜공篌후 노하 두고,청등을 걸어 둔 옆에 전공후를 두고
의나 님을 보려  밧고 비겨시니,꿈에서나 님을 보려고 턱을 괴고 비스듬히 있으니
鴦앙衾금도 도 샤 이 밤은 언제 샐고,원앙 이불이 차기도 차구나 이 밤은 언제나 샐꼬
ꢁ도 열두  ꢀ 도 셜흔 날,하루도 열두 때 한 달도 서른 날
져근덧 각 마라 이 시 닛쟈 ꢁ니,잠시라도 임 생각을 말아서 이 시름을 잊으려 하여도
의 쳐 이셔 骨골髓슈의 텨시니,마음에 맺혀 있어 뼈 속까지 사무쳤으니
扁편鵲쟉이 열히 오다 이 병을 엇디 ꢁ리,편작이 열 명이 온다 해도 이 병을 어찌 하리
어와 내 병이야 이 님의 타시로다,어와 내 병이야 이 임의 탓이로다
하리 싀어 디여 범나븨 되오리라,차라리 죽어 사라져 범나비가 되리라
곳나모 가지마다 간 죡죡 안니다가,꽃나무 가지마다 간 데 족족 앉고 다니다가
향므틴 애로 님의 오 올므리라,향 묻은 날개로 임의 옷에 옮으리라
님이야 날인줄 모셔도 내 님 조려 ꢁ노라,임께서야 나인 줄 모르셔도 나는 임을 따르려 하노라
東君이 有情ꢀ야 春風이 和暢ꢀ니,동군이 유정하여 춘풍이 화창하니
淸明佳節이라 景致도 佳麗ꢀ다,청명가절이라 경치도 가려하다
万疊靑山은 翠屛을 둘넛는 듯,만첩청산은 푸른병풍을 두른 듯
百花은 万發ꢀ여 光輝도 燦爛ꢀ다,백화는 만발하여 광휘도 찬란하다
彩筆를 놉히 들어 名畵를 그려 듯,채필을 높이 들어 명화를 그려낸 듯
層巖絶壁에 無心而開峰이라,층암절벽에 무심하게 봉우리를 이루었구나
万山紅綠은 春色을 여 잇고,만산홍록은 춘색을 띄어 있고
林下에 우는 는 王孫을 늣기는 듯,수풀아래 우는 새는 왕손을 느끼는 듯
物色도 凄然ꢀ다 滄浪水 말근 곳의,물색도 처연하다 창랑수 맑은 곳의
그림 구름 뫼듯 光彩도 사랑홉고,꽃그림자 구름 모이듯 광채도 사랑하고
碧鷄좃 우러에라 年年春草를,벽계 쫓아 울면서 가는 구나 해마다 돋는 봄풀을
슬허 이 만코 만타,설워할이 많고 많다
狂風 萋萋ꢀ여 落花를 쵹는 듯,광풍은 처처하여 낙화를 재촉하는 듯
러지거니 피거니 爛漫이 어지럽다,떨어지거니 피우거니 난만이 어지럽다
梨花는 눈 날이 듯 花葉이 紛紛ꢀ여,이화는 눈 내리듯 꽃잎이 분분하여
於焉中 春色이 去矣로다,어언중에 춘색이 거의로다
夭夭 三色桃는 언제 오마 도라간고,요요한 삼색도화는 언제 오마 돌아갔는가
春風桃를 훌忽이 보 後의,춘풍도리를 훌훌이 보낸 후에
華夏勝景을 牧丹으로 벗을 아,화하승경을 목단으로 벗을 삼아
綠陰이 攢攢處에 花王이 빗흘 랑ꢁ다,녹음이 짙은 곳에 화왕이 빛을 자랑한다
十里香 靄靄ꢀ여 花枝의 둘너 잇고,십리향 애애하여 꽃가지에 둘러 있고
鶯歌는 雅雅ꢀ여 太平曲을 알위는 듯,꾀꼬리 노래는 맑아서 태평곡을 아뢰는 듯
雙鳳은 노ꢀ고 蝴蝶이 츔을 츄니,쌍봉은 노래하고 호접이 춤을 추니
舞袖 飄飄ꢀ여 香風의 나뷔기고,무수는 표표하여 향풍에 나부끼고
歌聲은 咽咽ꢀ여 花林의 얼켯세라,가성은 인인하여 화림에 얽혔어라
玉階의 海棠花는 朝露를 먹음어서,왕계의 해당화는 조로를 먹음어서
自若히 피엿고나,자약이 피였구나
富盛ꢁ 芍藥츤 香氣를 자랑ꢁ다,무성한 작약꽃은 향기를 자랑한다
月桂四桂花 계 薔薇花로 벗시 되어,월계사계화는 장미화로 벗이 되어
고흔 빗흘 서로 사랑는 듯,고은 빛을 서로 사랑하는 듯
香臭 郁郁ꢀ여 半空의 가득ꢀ다,향취 욱욱하여 반공에 가득하다
黃鶯은 말게 우러 花林間에 往來ꢀ고,황앵은 맑게 울어 꽃과 화림간에 왕래하고
楊柳은 바람을 못이긔여 靑絲가 헌날인다,버들은 바람을 못이겨서 청사가 흩날인다
말ꢀ노니 蓮 는 兒戱들아,말하노니 연 캐는 아이들아
滄浪水 말근 곳의 蓮츨 걱거니,창랑수 맑은 곳의 연꽃을 꺾어내니
一陣香風의 紅白이 되야세라,일진향풍의 홍백이 되었어라
稚秧을 옴겨 심고 綠坡에 의디ꢀ여,모종을 옮겨 심고 녹파에 의지하여
玉杯를 어루만져 蓮葉酒 마신 後에,옥배를 어루만져 연엽주를 마신 후에
採蓮曲을 푸면서 歸去來 각ꢀ니,채련곡을 읊으면서 귀거래사 생각하니
田園이 어듸메뇨 東籬黃菊 져볼가,전원이 어디인가 동리황국 찾아볼까
金風이 蕭蕭ꢀ여 菊花 爛開ꢀ니,가을바람이 소소하여 국화 난개하니
處士의 놉흔 節을 慨然이 보와세라,처사의 높은 절개 개연이 보았어라
秋天落月에 江風이 凜凜ꢀ고,추천낙월에 강풍이 늠름하고
滿山層葉이 錦繡帳을 일웟는,만산층엽이 금수장을 이뤘는데
져근듯 잠을 일워 梅竹을 의 보니,잠시 잠을 이뤄 매죽을 꿈에 보니
陽臺가 아니로다 梅林 압희 잇고,양대가 아니로다 매죽 앞에 있고
湘江이 안이로되 斑竹이 푸르럿다,상강이 아니로되 반죽이 푸르렀다
醉夢을 겨우 여 欄檻에 빗겨 보니,취몽을 겨우 깨어 난간에 빗껴보니
엇그제 少年容이 丹楓의 빗칠너니,엊그제 소년얼굴 단풍에 빛을내니
五六日 雪上 寒梅 香氣도 雅淡ꢀ다,오육일 설상 한매 향기도 우아하다
蒼蒼松栢은 臘雪을 여잇고,울창한 송백은 납설을 띄어있고
靑靑翠竹은 風霜을 업슈 여겨,청청취죽은 풍상을 업신여겨
烈士의 後身인가 節槪도 堅固ꢀ다,열사의 후신인가 절개도 견고하다
忠臣烈士는 松栢을 벗슬 아,충신열사는 송백을 벗을 삼아
漢나라 蘇子卿과 宋時節 文天祥이,한나라 소자경과 송시절 문천상이
松栢의 節을 가져 萬古의 遺傳ꢀ고,송백의 절을 가져 만고에 유전하고
빗나고 놉흔 일흠 千秋에 流芳ꢀ니,빛나고 높은 이름 천추에 유방하니
이갓흔 貞節은 後人이 感動ꢀ네,이같은 시절은 후인이 감동하네
忠魂은 依依ꢀ여 松竹의 빗기논다,충혼은 의의하여 송죽에 비긴다
蒼蒼ꢁ 져 松栢 누를 爲ꢀ여 기리 푸르런노,푸르른 저 송백 누구를 위하여 그리 푸르렀는가
積적雪을 쓰리치고 翠竹을 어루만져,적설을 쓸어 치우고 푸른 대나무를 어루만져
古今을 長嘆ꢀ니 物色이 愴然ꢀ다,고금을 탄식하니 물색이 창연하다
巍巍 北巖下의 雪風이 凄凉ꢁ,우뚝 솟은 암석하에 설풍이 처량한데
玉樹珠簾에(이) 處處의 걸녀스니,옥수주렴이 처처에 걸렸으니
素淡ꢁ 雪景中의 梅香은 무 일고,소담한 설경중에 매향은 무슨 일인가
烈烈寒風의 슬푸고 슬푼 興을,열렬한풍의 슬프고 슬픈 흥을
헛되이 보 後의 雪月을 下直ꢀ고,헛되이 보낸 후에 설월을 하직하고
三春을 다시 보니 반갑다 春風드라,삼춘을 다시 보니 반갑다 춘풍들아
예 보든 빗치 어이 네로구나.,옛날 보던 빛이 어이 너로구나.
황시졀 난이별 만학단풍 느졋스니,황매시절 떠난 이별 만학단풍 늦었으니
상일념 무한는 져도나를 그리련이,상사일념 무한 일은 저도 나를 그리려니
구든언약 깁흔정을 낸들어이 이졋슬가,굳은 언약 깊은 정을 낸들 어이 잊었을까
인간의 일리만코 됴물리 시긔런지,인간의 일이 많고 조물이 시기인지
ꢀ삼츄 지나가고 낙목한쳔 되엿,삼하삼추 지나가고 낙목한천 또 되었네
운산이 머럿쓰니 소식인들 쉬울손가,운산이 멀었으니 소식인들 쉬울건가
인난 긴한슘의 눈물은 맷런고,기다림의 긴 한숨에 눈물은 몇 때런가
흉즁의 불니나니 구회간장 다타간다,가슴 속에 불이 나니 구회간장 다 타 간다
인간의 물노못난 불리라 업건마는,인간의 물로 못 끄는 불이라 없건마는
가삼 태우는 일은 물노도 어이못난고,내 가슴 태우는 일은 물로도 어이 못 끄는고
네사졍 가알고 사졍 네 알니,자네 사정 내가 알고 내 사정 자네 아니
셰우사창 져믄날과 소소풍상 송안성의,세우사창 저문 날과 소소풍상 홍안성의
상몽 놀라여 키 생각ꢀ니,상사몽 놀라 깨여 오랫동안 생각하니
방츈화류 됴흔시졀 강누찰 경죳차,방춘화류 좋은 시절 강루사찰 경개 좇아
일부일 월부월의 운우지착 협흡졔,나날이 다달이의 운우지락 협흡할 때
쳥샨녹슈 증인두고 성년 셔로셰,청산녹수 증인 되고 차생백년 서로 맹세
못보와도 병이되고 더디와도 셩화로셰,못 보아도 병이 되고 더디 와도 성화로세
오는글발 가는연 자자획획 다졍턴이,오는 글발 가는 사연 자자획획 다정한 이
엇지타 한별니가 역여됴긔 어려웨라,어쩌다 한별한 이가 엮어두기 어려워라
상고 상고ꢀ니 상인 상사인을,그리워하고 그리워하니 그리운 사람 그리운 사람을
신롱씨 야속ꢀ다 상초약 젹의,신농씨 야속하다 상백초약 낼 적에
만병회츈 무불통지 임이즐약 웨모른고,만병 회춘 무불통지 임 잊을 약 왜 모르는가
쳔만량 셕은간장 언지장야 쓸길업서,천사만량 썩은 애간장 언지장야 쓸길 없어
어늬날 어늬달의 명텬이 우리보다,어느 날 어느 달의 밝은 하늘이 우리 뜻보다
츅실거성 이별업시 원앙침상 갓치누어,축실거성 이별 없이 원앙침상 같이 누워
이런말 옛일삼고 평성을 질길넌지,이런 말 옛일 삼고 평생을 즐길런지
어허졀 둄도됴타 고진감 이아닌가,어허절사 좋고좋다 고진감래 이 아닌가
오불망 그런임을 약슈상봉 다시탐탐,오매불망 그린 임을 약수상봉 다시 기다리네
져달아 네아느냐 황녀슈 심즁를,저 달아 네 아느냐 황녀태수 심중사를
삼오야 됴흔밤의 두어라 그리다보며,보름날 밤 좋은 밤의 두어라 그리다보며
술잇고 임은업다 참졍인가,술 있고 임은 없다 참정인가
이몸이 女子되여 徒勞百年 어려워라,이 몸이 여자 되어 도로 백년가약 어려워라
門밧게를 아니나고 閨閤에셔 쟝ꢀ여,문 밖을 안 나가고 규방에서 생장하여
百年佳約 定젹에 緣分을 라가셔,백년가약 정할 적에 연분을 따라가서
不更二夫 굿은言約 鐵石치 먹엇더니,불경이부 굳은 언약 철석같이 믿었더니
無心ꢁ 一封書札 어로 온단말가,무심한 한 통 편지 어디로 온단 말인가
書中 萬端事情 나려보니 아득ꢀ다,편지 중 여러 사정 들어 보니 아득하다
回答을 쓰려ꢀ고 붓을들고 각ꢀ니,답장을 쓰려하고 붓을 들고 생각하니
心身이 恍惚ꢀ여 말조차 쳣도다,심신이 황홀하여 말조차 그쳤도다
어화 書辭中에 군셜화 이업다,어화 서사 중에 군자 말씀 끝이 없다
庸劣ꢁ 이내거동 무도 가졋관,용렬한 이내 거동 무슨 태도 가졌는데
이도록 눈에드러 炳조차 들단말가,이다지 눈에 들어 병까지 들었단 말인가
그런 가졋스면 엇지ꢀ여 ꢁ고,그런 마음을 가졌으면 어찌하여 잠잠한가
다른곳 가기젼에 無心이 잇지말고,다른 곳으로 가기 전에 무심히 있지 말고
우리서로 어려슬제 ꢁ가지로 놀앗스니,우리 서로 어렸을 때 함께 놀았으니
날과言約ꢁ 길일업시 혼자 무일고,나와 언약한 길일 없이 혼자 마음 무슨 일인가
삽삽ꢁ 이내 각ꢀ니 後悔로다,삽삽한 이 내마음 생각하니 후회로다
일이임의 이러ꢀ니 무묘 잇슬손가,일이 이미 이러하니 무슨 묘책 있겠는가
廣大ꢁ 텬디간에 졀가인 無數ꢁ,넓디넓은 천지간에 절세가인 무수한데
날갓흔 녀야 어곳에 업슬손가,나 같은 아녀자야 어느 곳에 없을 것인가
事셰가 이러ꢀ니 이도ꢁ 天定이라,일 형세가 이러하니 이도 또한 하늘이 정함이라
病이實노 드럿스면 을 强仍ꢀ오,병이 실로 들었으면 마음을 부득이 마지못하오
흐르 이셰월에 朝露흔 우리인,흐르는 이 세월에 아침 이슬 같은 우리 인생
ꢁ번죽어 도라가면 다시오기 어려워라,한번 죽어 돌아가면 다시 오기 어려워라
쎡어 黃土되고 살은썩어 물이된다,뼈는 썩어 황토되고 살은 썩어 물이 된다
